sentence,frequency,ratio,cumul_ratio
evet,353,1.209359690294289,1.209359690294289
hayır,227,0.7776902257699818,1.9870499160642707
ne,109,0.3734283462948371,2.360478262359108
teşekkürler,64,0.21926068039329885,2.5797389427524067
merhaba,59,0.20213093973757237,2.7818698824899792
bilmiyorum,56,0.19185309534413647,2.973722977834116
üzgünüm,52,0.17814930281955532,3.151872280653671
peki,51,0.17472335468841002,3.326595635342081
öyle mi,49,0.16787145842611942,3.4944670937682005
tamam mı,48,0.16444551029497415,3.6589126040631745
aman tanrım,42,0.14388982150810237,3.8028024255712767
hadi,40,0.13703792524581176,3.9398403508170885
neden,38,0.1301860289835212,4.07002637980061
ne oldu,38,0.1301860289835212,4.2002124087841315
lütfen,37,0.1267600808523759,4.326972489636507
biliyorum,37,0.1267600808523759,4.453732570488883
iyi misin,36,0.1233341327212306,4.5770667032101136
tanrım,34,0.11648223645894001,4.6935489396690535
teşekkür ederim,33,0.11305628832779471,4.806605227996848
görüşürüz,32,0.10963034019664943,4.916235568193498
bay burke,30,0.10277844393435884,5.019014012127856
elbette,29,0.09935249580321354,5.11836650793107
özür dilerim,27,0.09250059954092296,5.2108671074719926
seni seviyorum,27,0.09250059954092296,5.3033677070129155
ben,25,0.08564870327863236,5.389016410291548
siktir,25,0.08564870327863236,5.474665113570181
güzel,25,0.08564870327863236,5.560313816848813
tabii,24,0.08222275514748707,5.642536571996301
hey,24,0.08222275514748707,5.724759327143788
hayır hayır,24,0.08222275514748707,5.806982082291276
efendim,24,0.08222275514748707,5.889204837438763
pekâlâ,23,0.07879680701634177,5.9680016444551045
gerçekten mi,22,0.07537085888519647,6.043372503340301
ne oluyor,20,0.06851896262290588,6.111891465963207
sadece,20,0.06851896262290588,6.180410428586113
her şey yolunda mı,20,0.06851896262290588,6.2489293912090185
beverly,18,0.0616670663606153,6.310596457569634
kahretsin,18,0.0616670663606153,6.37226352393025
kate,18,0.0616670663606153,6.433930590290865
anladın mı,18,0.0616670663606153,6.495597656651481
hiçbir şey,18,0.0616670663606153,6.557264723012096
pekala,17,0.05824111822947001,6.615505841241567
çeviri,17,0.05824111822947001,6.673746959471037
harika,16,0.05481517009832471,6.728562129569362
hadi ama,16,0.05481517009832471,6.783377299667686
lilayı sam öldürdü,16,0.05481517009832471,6.83819246976601
neler oluyor,16,0.05481517009832471,6.893007639864335
anlıyorum,15,0.05138922196717942,6.944396861831514
işte böyle,15,0.05138922196717942,6.995786083798693
iyiyim,15,0.05138922196717942,7.047175305765872
