search_string,start_time,end_time,sentence,video_id,video_url
we zijn er dat was het dat was,473,476,nou rik we zijn er dat was het dat was hem,1ZuKeTOZ7IU,https://www.youtube.com/watch?v=1ZuKeTOZ7IU&t=473s
niet voor het ik maar voor het,4037,4039,dus niet voor het ik maar voor het wij,ufQenq834F4,https://www.youtube.com/watch?v=ufQenq834F4&t=4037s
maar niet als je het niet,793,795,maar niet als je het niet leuk vond,IOMexym5byo,https://www.youtube.com/watch?v=IOMexym5byo&t=793s
maar niet als je het niet,832,835,maar niet als je het niet leuk vond,2RDPz03xJMg,https://www.youtube.com/watch?v=2RDPz03xJMg&t=832s
maar niet als je het niet,734,736,maar niet als je het niet leuk vond,3r234qU24b4,https://www.youtube.com/watch?v=3r234qU24b4&t=734s
maar niet als je het niet,880,881,maar niet als je het niet leuk vond,bJvH3EQdtBU,https://www.youtube.com/watch?v=bJvH3EQdtBU&t=880s
maar niet als je het niet,1364,1367,maar niet als je het niet leuk vond,OeEjdhh8bMg,https://www.youtube.com/watch?v=OeEjdhh8bMg&t=1364s
maar niet als je het niet,510,513,maar niet als je het niet leuk vond,k2uNCnuwwdg,https://www.youtube.com/watch?v=k2uNCnuwwdg&t=510s
maar niet als je het niet,1208,1210,maar niet als je het niet leuk vond,BFAqRHqKeII,https://www.youtube.com/watch?v=BFAqRHqKeII&t=1208s
maar niet als je het niet,829,831,maar niet als je het niet leuk vond,yuyAYkhXuGs,https://www.youtube.com/watch?v=yuyAYkhXuGs&t=829s
maar niet als je het niet,1118,1122,maar niet als je het niet leuk vond,ruIdAT7dfOg,https://www.youtube.com/watch?v=ruIdAT7dfOg&t=1118s
het is niet dat ik op het,530,533,het is niet dat ik op het idee kwam,SL2ZxGe58pc,https://www.youtube.com/watch?v=SL2ZxGe58pc&t=530s
maar niet als je het niet,1042,1043,maar niet als je het niet leuk vond,SihSTtAmCDA,https://www.youtube.com/watch?v=SihSTtAmCDA&t=1042s
maar wat als je het niet,606,608,maar wat als je het niet meer,UkItaPRB380,https://www.youtube.com/watch?v=UkItaPRB380&t=606s
maar dat is niet wat ik,825,827,maar dat is niet wat ik bedoel,6cng6DUV8O8,https://www.youtube.com/watch?v=6cng6DUV8O8&t=825s
en dat is niet voor het,4925,4927,en dat is niet voor het eerst,QAjt9liE_a4,https://www.youtube.com/watch?v=QAjt9liE_a4&t=4925s
en dat zijn er maar een,260,262,en dat zijn er maar een paar,OOZwkA5eGFA,https://www.youtube.com/watch?v=OOZwkA5eGFA&t=260s
en wat zijn de voor en,797,799,en wat zijn de voor en nadelen,XwM8xs5ZbMg,https://www.youtube.com/watch?v=XwM8xs5ZbMg&t=797s
dat is niet een van de,791,793,dat is niet een van de vragen,05uOcgS2jn8,https://www.youtube.com/watch?v=05uOcgS2jn8&t=791s
er is er maar een van,363,365,er is er maar een van,tQ3iQ8_Qb8A,https://www.youtube.com/watch?v=tQ3iQ8_Qb8A&t=363s
maar die zijn er niet,17846,17848,maar die zijn er niet,9uOFhXkzEQQ,https://www.youtube.com/watch?v=9uOFhXkzEQQ&t=17846s
maar als het dat niet,604,605,maar als het dat niet doet,w3rQFzPLPXU,https://www.youtube.com/watch?v=w3rQFzPLPXU&t=604s
wat is dat heb je een,847,856,wat is dat heb je een,5YeYMSPFo44,https://www.youtube.com/watch?v=5YeYMSPFo44&t=847s
maar voor dat we dat,56,58,maar voor dat we dat kunnen,NavSWHwhBSA,https://www.youtube.com/watch?v=NavSWHwhBSA&t=56s
maar dat heb ik niet,503,505,maar dat heb ik niet gedaan,zii3GhClcnQ,https://www.youtube.com/watch?v=zii3GhClcnQ&t=503s
maar dat is het niet,5,6,maar dat is het niet altijd,upJD5vx_4oE,https://www.youtube.com/watch?v=upJD5vx_4oE&t=5s
maar hij is niet van,624,627,maar hij is niet van,6pTV5xoPh3s,https://www.youtube.com/watch?v=6pTV5xoPh3s&t=624s
maar ik was niet van,427,430,maar ik was niet van plan om,bTKi3Q5lFfU,https://www.youtube.com/watch?v=bTKi3Q5lFfU&t=427s
ze dat het maar voor,370,373,dachten ze dat het maar voor,ieI2usFRKuk,https://www.youtube.com/watch?v=ieI2usFRKuk&t=370s
