search_string,start_time,end_time,sentence,video_id,video_url
porque lo tienes todo pero a la vez es como que no tienes nada porque yo tengo mi casa yo tengo las,685,692,porque lo tienes todo pero a la vez es como que no tienes nada porque yo tengo mi casa yo tengo las,ZyghXM2t1CM,https://www.youtube.com/watch?v=ZyghXM2t1CM&t=685s
y eso es bueno ahora tenemos un mejor dinero pero qué tal si ahora podemos tener un mejor,151,159,y eso es bueno ahora tenemos un mejor dinero pero qué tal si ahora podemos tener un mejor sistema de gobierno,jX_pbV6ea3c,https://www.youtube.com/watch?v=jX_pbV6ea3c&t=151s
aquí yo no lo voy a hacer porque lo voy a hacer así como está este creo que para el,1795,1801,vamos a tejer aquí yo no lo voy a hacer porque lo voy a hacer así como está este creo que para el,ujmlPjCimbM,https://www.youtube.com/watch?v=ujmlPjCimbM&t=1795s
o sea que este es el trabajo de la noche pero vamos esta noche ha hecho una noche,870,875,o sea que este es el trabajo de la noche pero vamos esta noche ha hecho una noche bastante buena,aL1sepsZoT0,https://www.youtube.com/watch?v=aL1sepsZoT0&t=870s
mucho más o menos así más pero que están muy bien menos y más tengo que ser más,158,161,molan mucho más o menos así más pero que están muy bien menos y más tengo que ser más,MeAGI1vCdN4,https://www.youtube.com/watch?v=MeAGI1vCdN4&t=158s
que yo tengo entonces por eso no se puede o se lo podría hacer pero entonces no,2583,2592,que yo tengo entonces por eso no se puede o se lo podría hacer pero entonces no descanse los l,XEsfzSBTXMI,https://www.youtube.com/watch?v=XEsfzSBTXMI&t=2583s
de estar en el señor esa fue mi vida bueno entonces y después que ya yo estaba,2075,2081,formarme de estar en el señor esa fue mi vida bueno entonces y después que ya yo estaba,flmh_SBxMJg,https://www.youtube.com/watch?v=flmh_SBxMJg&t=2075s
así así que bueno si estás aquí hace tiempo ya sabes qué es lo que me pasa con,582,588,bom se pone así así que bueno si estás aquí hace tiempo ya sabes qué es lo que me pasa con estas cosas,rlVCOWvwzpw,https://www.youtube.com/watch?v=rlVCOWvwzpw&t=582s
otro pero bueno es que se le va a hacer así fue el día y se fue el día también,1065,1071,otro pero bueno es que se le va a hacer así fue el día y se fue el día también,C7x0JkLXsl0,https://www.youtube.com/watch?v=C7x0JkLXsl0&t=1065s
el otro cómo está de vida para que está aquí él y le he hecho esto ahora ahora,8199,8207,el otro cómo está de vida para que está aquí él y le he hecho esto ahora ahora,LK_48jk8IIk,https://www.youtube.com/watch?v=LK_48jk8IIk&t=8199s
